aweme_id,category,keyword,desc,author,author_unique_id,likes,comments,shares,plays,collects,duration_s,create_time,has_product_anchor,video_url,local_file
7643238950936644885,Home,viral home gadgets,"You finally found the PERFECT water bottle for every Minecraft fan 😭🟩💧 This Minecraft water bottle is giving childhood nostalgia, gamer vibes, and instant obsession all at once 🎮🔥 Honestly… I’d carry this everywhere 😳✨ TikTok gamers are about to go CRAZY over this 👀 Would you drink more water if you had this?👇😂 SAVE this for your next gamer setup upgrade & TAG a Minecraft lover ASAP ⛏️💯 #Minecraft #MinecraftBottle #GamingSetup #TikTokMadeMeBuyIt #GamerLife #minecraftfanart #GamingAccessories #WaterBottle #GameTok #ViralProducts #GeekCulture #AmazonFinds #GamingTok #MinecraftTok #FYP",isiaka_prime,isiakaprime,351346,4565,41045,6520983,21723,23,2026-05-23,False,https://www.tiktok.com/@isiakaprime/video/7643238950936644885,videos/Home/351346likes_4565cmt_7643238950936644885.mp4
7590370217717452062,Factory,food factory process,Inside India’s Most Unique Salt Industry #salt #factory #process #production #indiafood ,Goalhunter,goalhunter35,350278,5076,47840,7879021,18413,90,2026-01-01,False,https://www.tiktok.com/@goalhunter35/video/7590370217717452062,videos/Factory/350278likes_5076cmt_7590370217717452062.mp4
7285487440851193134,Factory,inside the factory tiktok,When i became a truck driver i couldnt believe this is how the beef factories work #trucker #viral #fyp #cdla #truckdriver #cdl #viraltiktok #trucklife #trucklifestyle #cdllife #cdls #cdldriver #trending #redmeat #beef #cow #food #steak #screammovie #VozDosCriadores ,Puremirr,puremirr,349203,4668,52664,3713435,38522,48,2023-10-02,False,https://www.tiktok.com/@puremirr/video/7285487440851193134,videos/Factory/349203likes_4668cmt_7285487440851193134.mp4
7600600436713852191,Electronics,viral led lights,Outdoor waterproof and drop-proof LED stage rental screen#worldcup #rentalledscreen #LEDrentalledscreen #indoorledscreen #StageScreen #outdoorleddisplay #ledwall #outdoorledscreen #xr #ledscreenfactory #ledvideowall #leddisplayfactory #WaterproofLEDscreen #ledscreen #aresled #leddisplay #leddisplayscreen ,ARESLED Screen Factory,aresledwall,346365,2060,11063,23258984,25917,27,2026-01-29,False,https://www.tiktok.com/@aresledwall/video/7600600436713852191,videos/Electronics/346365likes_2060cmt_7600600436713852191.mp4
7177188015490501931,Beauty,tiktokmademebuyit makeup,Get her one she will love you forever 🤫#heatedeyelashcurler #lashes #tiktokmademebuyit #makeupaddict #theheatcurler #beauty ,Lynda Beauty,lyndalashcurler,344931,2678,20917,8851101,38008,7,2022-12-15,False,https://www.tiktok.com/@lyndalashcurler/video/7177188015490501931,videos/Beauty/344931likes_2678cmt_7177188015490501931.mp4
7617512042743729438,Kitchen,viral kitchen gadgets,professionnal juicer available #bestseller #amazonfinds #juicer #amazonmusthaves #homeappliances ,HOME APPLIANCES,home.appliances513,344533,2491,46856,24309941,45160,30,2026-03-15,False,https://www.tiktok.com/@home.appliances513/video/7617512042743729438,videos/Kitchen/344533likes_2491cmt_7617512042743729438.mp4
7554090742428224798,Electronics,viral projector tiktok,The VIRAL projector where we answer all of your questions! #viral #projector #xmasgift  #xmasgiftideas #teenagers ,Sarah Molnar,happyhealthysarahh,343412,4353,23669,14068004,51275,307,2025-09-25,True,https://www.tiktok.com/@happyhealthysarahh/video/7554090742428224798,videos/Electronics/343412likes_4353cmt_7554090742428224798.mp4
7615215562972499220,Factory,inside the factory tiktok,#engine #caraccessories #motor #used #auto #engineaccessories #newengine #original #factory,Auto parts store. TiNa,auto.parts.store.tina,337467,4719,191368,5296845,25201,36,2026-03-09,False,https://www.tiktok.com/@auto.parts.store.tina/video/7615215562972499220,videos/Factory/337467likes_4719cmt_7615215562972499220.mp4
7643506622593092895,Factory,food factory process,Watch How Your Favorite Noodles Are Made🍜 🙀👀| Inside a US Noodle Factory!  #IndustrialProcess #viral #noodles #noodlesfactory #factoryprocess ,Mass and Methods,mass.and.methods,323658,9041,234732,30579619,51097,76,2026-05-24,False,https://www.tiktok.com/@mass.and.methods/video/7643506622593092895,videos/Factory/323658likes_9041cmt_7643506622593092895.mp4
7647007242125839629,Pets,dog products viral,"I love bath time, and my skin feels great 🐶🛁✨ Fresh, fluffy, and smelling amazing—being a well-groomed pup is the best feeling ever 🤍🐾 #DogBath #CuteDog #PetDaily #LifeWithDogs",PetsGoodis,petsgoodis.com,321631,5019,50763,4969962,21367,85,2026-06-03,False,https://www.tiktok.com/@petsgoodis.com/video/7647007242125839629,videos/Pets/321631likes_5019cmt_7647007242125839629.mp4
